Date,Open,High,Low,Close,Adj Close,Volume
5/1/2009,19.950001,19.950001,19.950001,19.950001,8.865779,0
5/4/2009,20.58,20.58,20.58,20.58,9.145751,0
5/5/2009,20.52,20.52,20.52,20.52,9.119089,0
5/6/2009,20.790001,20.790001,20.790001,20.790001,9.239075,0
5/7/2009,20.549999,20.549999,20.549999,20.549999,9.132417,0
5/8/2009,21,21,21,21,9.3324,0
5/11/2009,20.59,20.59,20.59,20.59,9.150196,0
5/12/2009,20.690001,20.690001,20.690001,20.690001,9.194636,0
5/13/2009,20.219999,20.219999,20.219999,20.219999,8.985767,0
5/14/2009,20.360001,20.360001,20.360001,20.360001,9.047983,0
5/15/2009,20.120001,20.120001,20.120001,20.120001,8.941327,0
5/18/2009,20.57,20.57,20.57,20.57,9.141309,0
5/19/2009,20.549999,20.549999,20.549999,20.549999,9.132417,0
5/20/2009,20.49,20.49,20.49,20.49,9.105756,0
5/21/2009,20.17,20.17,20.17,20.17,8.963547,0
5/22/2009,20.190001,20.190001,20.190001,20.190001,8.972434,0
5/26/2009,20.68,20.68,20.68,20.68,9.19019,0
5/27/2009,20.290001,20.290001,20.290001,20.290001,9.016877,0
5/28/2009,20.57,20.57,20.57,20.57,9.141309,0
5/29/2009,20.860001,20.860001,20.860001,20.860001,9.270184,0
6/1/2009,21.4,21.4,21.4,21.4,9.510162,0
6/2/2009,21.42,21.42,21.42,21.42,9.519049,0
6/3/2009,21.09,21.09,21.09,21.09,9.372396,0
6/4/2009,21.25,21.25,21.25,21.25,9.4435,0
6/5/2009,21.23,21.23,21.23,21.23,9.434612,0
6/8/2009,21.18,21.18,21.18,21.18,9.412391,0
6/9/2009,21.219999,21.219999,21.219999,21.219999,9.430168,0
6/10/2009,21.219999,21.219999,21.219999,21.219999,9.430168,0
6/11/2009,21.370001,21.370001,21.370001,21.370001,9.496827,0
6/12/2009,21.43,21.43,21.43,21.43,9.52349,0
6/15/2009,20.9,20.9,20.9,20.9,9.287962,0
6/16/2009,20.68,20.68,20.68,20.68,9.19019,0
6/17/2009,20.66,20.66,20.66,20.66,9.181305,0
6/18/2009,20.860001,20.860001,20.860001,20.860001,9.270184,0
6/19/2009,20.66,20.66,20.66,20.66,9.181305,0
6/22/2009,20.18,20.18,20.18,20.18,8.967995,0
6/23/2009,20.18,20.18,20.18,20.18,8.967995,0
6/24/2009,20.219999,20.219999,20.219999,20.219999,8.985767,0
6/25/2009,20.629999,20.629999,20.629999,20.629999,9.167971,0
6/26/2009,20.58,20.58,20.58,20.58,9.145751,0
6/29/2009,20.780001,20.780001,20.780001,20.780001,9.234631,0
6/30/2009,20.6,20.6,20.6,20.6,9.154639,0
7/1/2009,20.77,20.77,20.77,20.77,9.230192,0
7/2/2009,20.139999,20.139999,20.139999,20.139999,8.950217,0
7/6/2009,20.219999,20.219999,20.219999,20.219999,8.985767,0
7/7/2009,19.83,19.83,19.83,19.83,8.812454,0
7/8/2009,19.83,19.83,19.83,19.83,8.812454,0
7/9/2009,19.84,19.84,19.84,19.84,8.816896,0
7/10/2009,19.77,19.77,19.77,19.77,8.785789,0
7/13/2009,20.190001,20.190001,20.190001,20.190001,8.972434,0
7/14/2009,20.280001,20.280001,20.280001,20.280001,9.012433,0
7/15/2009,20.809999,20.809999,20.809999,20.809999,9.247963,0
7/16/2009,21,21,21,21,9.3324,0
7/17/2009,20.959999,20.959999,20.959999,20.959999,9.314623,0
7/20/2009,21.24,21.24,21.24,21.24,9.439057,0
7/21/2009,21.360001,21.360001,21.360001,21.360001,9.492387,0
7/22/2009,21.309999,21.309999,21.309999,21.309999,9.470167,0
7/23/2009,21.719999,21.719999,21.719999,21.719999,9.652369,0
7/24/2009,21.84,21.84,21.84,21.84,9.705695,0
7/27/2009,21.870001,21.870001,21.870001,21.870001,9.719029,0
7/28/2009,21.809999,21.809999,21.809999,21.809999,9.692365,0
7/29/2009,21.76,21.76,21.76,21.76,9.670145,0
7/30/2009,21.99,21.99,21.99,21.99,9.772354,0
7/31/2009,21.99,21.99,21.99,21.99,9.772354,0
8/3/2009,22.25,22.25,22.25,22.25,9.887901,0
8/4/2009,22.25,22.25,22.25,22.25,9.887901,0
8/5/2009,22.15,22.15,22.15,22.15,9.843457,0
8/6/2009,22.1,22.1,22.1,22.1,9.821238,0
8/7/2009,22.370001,22.370001,22.370001,22.370001,9.941229,0
8/10/2009,22.299999,22.299999,22.299999,22.299999,9.910121,0
8/11/2009,22.120001,22.120001,22.120001,22.120001,9.830128,0
8/12/2009,22.35,22.35,22.35,22.35,9.932339,0
8/13/2009,22.43,22.43,22.43,22.43,9.967891,0
8/14/2009,22.26,22.26,22.26,22.26,9.892345,0
8/17/2009,21.83,21.83,21.83,21.83,9.701252,0
8/18/2009,21.969999,21.969999,21.969999,21.969999,9.763466,0
8/19/2009,22.15,22.15,22.15,22.15,9.843457,0
8/20/2009,22.309999,22.309999,22.309999,22.309999,9.914567,0
8/21/2009,22.74,22.74,22.74,22.74,10.105659,0
8/24/2009,22.73,22.73,22.73,22.73,10.101211,0
8/25/2009,22.790001,22.790001,22.790001,22.790001,10.127879,0
8/26/2009,22.799999,22.799999,22.799999,22.799999,10.13232,0
8/27/2009,22.889999,22.889999,22.889999,22.889999,10.172317,0
8/28/2009,22.809999,22.809999,22.809999,22.809999,10.136764,0
8/31/2009,22.66,22.66,22.66,22.66,10.070103,0
9/1/2009,22.27,22.27,22.27,22.27,9.896789,0
9/2/2009,22.18,22.18,22.18,22.18,9.856793,0
9/3/2009,22.290001,22.290001,22.290001,22.290001,9.905678,0
9/4/2009,22.549999,22.549999,22.549999,22.549999,10.021219,0
9/8/2009,22.700001,22.700001,22.700001,22.700001,10.08788,0
9/9/2009,22.85,22.85,22.85,22.85,10.154542,0
9/10/2009,23.030001,23.030001,23.030001,23.030001,10.234535,0
9/11/2009,23.02,23.02,23.02,23.02,10.230089,0
9/14/2009,23.16,23.16,23.16,23.16,10.2923,0
9/15/2009,23.27,23.27,23.27,23.27,10.341191,0
9/16/2009,23.51,23.51,23.51,23.51,10.447843,0
9/17/2009,23.450001,23.450001,23.450001,23.450001,10.421178,0
9/18/2009,23.559999,23.559999,23.559999,23.559999,10.470065,0
9/21/2009,23.42,23.42,23.42,23.42,10.407847,0
9/22/2009,23.51,23.51,23.51,23.51,10.447843,0
9/23/2009,23.34,23.34,23.34,23.34,10.372296,0
9/24/2009,23.190001,23.190001,23.190001,23.190001,10.305636,0
9/25/2009,22.9,22.9,22.9,22.9,10.263059,0
9/28/2009,23.24,23.24,23.24,23.24,10.415439,0
9/29/2009,23.190001,23.190001,23.190001,23.190001,10.393032,0
9/30/2009,23.09,23.09,23.09,23.09,10.348214,0
10/1/2009,22.610001,22.610001,22.610001,22.610001,10.133089,0
10/2/2009,22.52,22.52,22.52,22.52,10.092755,0
10/5/2009,22.780001,22.780001,22.780001,22.780001,10.209283,0
10/6/2009,23.049999,23.049999,23.049999,23.049999,10.330281,0
10/7/2009,23.059999,23.059999,23.059999,23.059999,10.334767,0
10/8/2009,23.23,23.23,23.23,23.23,10.410955,0
10/9/2009,23.34,23.34,23.34,23.34,10.460253,0
10/12/2009,23.440001,23.440001,23.440001,23.440001,10.505072,0
10/13/2009,23.389999,23.389999,23.389999,23.389999,10.482661,0
10/14/2009,23.73,23.73,23.73,23.73,10.635039,0
10/15/2009,23.9,23.9,23.9,23.9,10.711224,0
10/16/2009,23.82,23.82,23.82,23.82,10.675375,0
10/19/2009,24.08,24.08,24.08,24.08,10.791899,0
10/20/2009,23.91,23.91,23.91,23.91,10.715713,0
