Date,Open,High,Low,Close,Adj Close,Volume
4/28/2006,25.59,25.59,25.59,25.59,9.497851,0
5/1/2006,25.51,25.51,25.51,25.51,9.468159,0
5/2/2006,25.58,25.58,25.58,25.58,9.494144,0
5/3/2006,25.610001,25.610001,25.610001,25.610001,9.505277,0
5/4/2006,25.67,25.67,25.67,25.67,9.527547,0
5/5/2006,25.85,25.85,25.85,25.85,9.594355,0
5/8/2006,25.82,25.82,25.82,25.82,9.58322,0
5/9/2006,25.76,25.76,25.76,25.76,9.560952,0
5/10/2006,25.629999,25.629999,25.629999,25.629999,9.512701,0
5/11/2006,25.370001,25.370001,25.370001,25.370001,9.416204,0
5/12/2006,25.139999,25.139999,25.139999,25.139999,9.330835,0
5/15/2006,25.219999,25.219999,25.219999,25.219999,9.360531,0
5/16/2006,25.110001,25.110001,25.110001,25.110001,9.319704,0
5/17/2006,24.780001,24.780001,24.780001,24.780001,9.197222,0
5/18/2006,24.67,24.67,24.67,24.67,9.156393,0
5/19/2006,24.790001,24.790001,24.790001,24.790001,9.200935,0
5/22/2006,24.700001,24.700001,24.700001,24.700001,9.167524,0
5/23/2006,24.58,24.58,24.58,24.58,9.122987,0
5/24/2006,24.66,24.66,24.66,24.66,9.152681,0
5/25/2006,24.91,24.91,24.91,24.91,9.245473,0
5/26/2006,25.02,25.02,25.02,25.02,9.286299,0
5/30/2006,24.719999,24.719999,24.719999,24.719999,9.174949,0
5/31/2006,24.85,24.85,24.85,24.85,9.2232,0
6/1/2006,25.15,25.15,25.15,25.15,9.334546,0
6/2/2006,25.18,25.18,25.18,25.18,9.345683,0
6/5/2006,24.75,24.75,24.75,24.75,9.186087,0
6/6/2006,24.719999,24.719999,24.719999,24.719999,9.174949,0
6/7/2006,24.6,24.6,24.6,24.6,9.13041,0
6/8/2006,24.66,24.66,24.66,24.66,9.152681,0
6/9/2006,24.57,24.57,24.57,24.57,9.119276,0
6/12/2006,24.290001,24.290001,24.290001,24.290001,9.015356,0
6/13/2006,23.98,23.98,23.98,23.98,8.9003,0
6/14/2006,24.110001,24.110001,24.110001,24.110001,8.948549,0
6/15/2006,24.610001,24.610001,24.610001,24.610001,9.134124,0
6/16/2006,24.51,24.51,24.51,24.51,9.097008,0
6/19/2006,24.27,24.27,24.27,24.27,9.007935,0
6/20/2006,24.290001,24.290001,24.290001,24.290001,9.015356,0
6/21/2006,24.52,24.52,24.52,24.52,9.100722,0
6/22/2006,24.41,24.41,24.41,24.41,9.059897,0
6/23/2006,24.42,24.42,24.42,24.42,9.063601,0
6/26/2006,24.549999,24.549999,24.549999,24.549999,9.111855,0
6/27/2006,24.33,24.33,24.33,24.33,9.030201,0
6/28/2006,24.459999,24.459999,24.459999,24.459999,9.078452,0
6/29/2006,24.98,24.98,24.98,24.98,9.271451,0
6/30/2006,24.91,24.91,24.91,24.91,9.267359,0
7/3/2006,25.09,25.09,25.09,25.09,9.334319,0
7/5/2006,24.85,24.85,24.85,24.85,9.245035,0
7/6/2006,24.889999,24.889999,24.889999,24.889999,9.259922,0
7/7/2006,24.709999,24.709999,24.709999,24.709999,9.192957,0
7/10/2006,24.82,24.82,24.82,24.82,9.233874,0
7/11/2006,24.91,24.91,24.91,24.91,9.267359,0
7/12/2006,24.58,24.58,24.58,24.58,9.144588,0
7/13/2006,24.33,24.33,24.33,24.33,9.051577,0
7/14/2006,24.18,24.18,24.18,24.18,8.995773,0
7/17/2006,24.15,24.15,24.15,24.15,8.984612,0
7/18/2006,24.16,24.16,24.16,24.16,8.988331,0
7/19/2006,24.6,24.6,24.6,24.6,9.152026,0
7/20/2006,24.379999,24.379999,24.379999,24.379999,9.070179,0
7/21/2006,24.24,24.24,24.24,24.24,9.018093,0
7/24/2006,24.629999,24.629999,24.629999,24.629999,9.163187,0
7/25/2006,24.719999,24.719999,24.719999,24.719999,9.19667,0
7/26/2006,24.690001,24.690001,24.690001,24.690001,9.185511,0
7/27/2006,24.549999,24.549999,24.549999,24.549999,9.133425,0
7/28/2006,24.99,24.99,24.99,24.99,9.29712,0
7/31/2006,24.950001,24.950001,24.950001,24.950001,9.282241,0
8/1/2006,24.809999,24.809999,24.809999,24.809999,9.230162,0
8/2/2006,24.879999,24.879999,24.879999,24.879999,9.256198,0
8/3/2006,24.84,24.84,24.84,24.84,9.241314,0
8/4/2006,24.799999,24.799999,24.799999,24.799999,9.226437,0
8/7/2006,24.709999,24.709999,24.709999,24.709999,9.192957,0
8/8/2006,24.65,24.65,24.65,24.65,9.170628,0
8/9/2006,24.629999,24.629999,24.629999,24.629999,9.163187,0
8/10/2006,24.76,24.76,24.76,24.76,9.211553,0
8/11/2006,24.67,24.67,24.67,24.67,9.178071,0
8/14/2006,24.77,24.77,24.77,24.77,9.215272,0
8/15/2006,25.139999,25.139999,25.139999,25.139999,9.352931,0
8/16/2006,25.43,25.43,25.43,25.43,9.460817,0
8/17/2006,25.469999,25.469999,25.469999,25.469999,9.475695,0
8/18/2006,25.5,25.5,25.5,25.5,9.486859,0
8/21/2006,25.4,25.4,25.4,25.4,9.449657,0
8/22/2006,25.469999,25.469999,25.469999,25.469999,9.475695,0
8/23/2006,25.299999,25.299999,25.299999,25.299999,9.412449,0
8/24/2006,25.34,25.34,25.34,25.34,9.427335,0
8/25/2006,25.33,25.33,25.33,25.33,9.423615,0
8/28/2006,25.549999,25.549999,25.549999,25.549999,9.505457,0
8/29/2006,25.700001,25.700001,25.700001,25.700001,9.561266,0
8/30/2006,25.82,25.82,25.82,25.82,9.605907,0
8/31/2006,25.82,25.82,25.82,25.82,9.605907,0
9/1/2006,25.940001,25.940001,25.940001,25.940001,9.650554,0
9/5/2006,25.969999,25.969999,25.969999,25.969999,9.661713,0
9/6/2006,25.709999,25.709999,25.709999,25.709999,9.564985,0
9/7/2006,25.540001,25.540001,25.540001,25.540001,9.501741,0
9/8/2006,25.67,25.67,25.67,25.67,9.550105,0
9/11/2006,25.77,25.77,25.77,25.77,9.587306,0
