Date,Open,High,Low,Close,Adj Close,Volume
7/5/2017,25.139999,25.139999,25.139999,25.139999,20.402386,0
7/6/2017,24.959999,24.959999,24.959999,24.959999,20.256306,0
7/7/2017,25.139999,25.139999,25.139999,25.139999,20.402386,0
7/10/2017,25.17,25.17,25.17,25.17,20.426731,0
7/11/2017,25.139999,25.139999,25.139999,25.139999,20.402386,0
7/12/2017,25.35,25.35,25.35,25.35,20.572813,0
7/13/2017,25.389999,25.389999,25.389999,25.389999,20.605272,0
7/14/2017,25.52,25.52,25.52,25.52,20.710775,0
7/17/2017,25.5,25.5,25.5,25.5,20.694542,0
7/18/2017,25.540001,25.540001,25.540001,25.540001,20.727005,0
7/19/2017,25.690001,25.690001,25.690001,25.690001,20.84874,0
7/20/2017,25.68,25.68,25.68,25.68,20.840624,0
7/21/2017,25.67,25.67,25.67,25.67,20.83251,0
7/24/2017,25.67,25.67,25.67,25.67,20.83251,0
7/25/2017,25.73,25.73,25.73,25.73,20.881201,0
7/26/2017,25.76,25.76,25.76,25.76,20.905548,0
7/27/2017,25.709999,25.709999,25.709999,25.709999,20.864969,0
7/28/2017,25.66,25.66,25.66,25.66,20.82439,0
7/31/2017,25.629999,25.629999,25.629999,25.629999,20.800045,0
8/1/2017,25.700001,25.700001,25.700001,25.700001,20.856855,0
8/2/2017,25.719999,25.719999,25.719999,25.719999,20.873085,0
8/3/2017,25.65,25.65,25.65,25.65,20.816277,0
8/4/2017,25.700001,25.700001,25.700001,25.700001,20.856855,0
8/7/2017,25.77,25.77,25.77,25.77,20.913662,0
8/8/2017,25.690001,25.690001,25.690001,25.690001,20.84874,0
8/9/2017,25.639999,25.639999,25.639999,25.639999,20.808159,0
8/10/2017,25.26,25.26,25.26,25.26,20.499773,0
8/11/2017,25.33,25.33,25.33,25.33,20.556581,0
8/14/2017,25.58,25.58,25.58,25.58,20.75947,0
8/15/2017,25.58,25.58,25.58,25.58,20.75947,0
8/16/2017,25.629999,25.629999,25.629999,25.629999,20.800045,0
8/17/2017,25.23,25.23,25.23,25.23,20.475426,0
8/18/2017,25.200001,25.200001,25.200001,25.200001,20.451082,0
8/21/2017,25.24,25.24,25.24,25.24,20.483541,0
8/22/2017,25.51,25.51,25.51,25.51,20.702658,0
8/23/2017,25.4,25.4,25.4,25.4,20.613388,0
8/24/2017,25.360001,25.360001,25.360001,25.360001,20.580927,0
8/25/2017,25.4,25.4,25.4,25.4,20.613388,0
8/28/2017,25.41,25.41,25.41,25.41,20.621504,0
8/29/2017,25.43,25.43,25.43,25.43,20.637737,0
8/30/2017,25.57,25.57,25.57,25.57,20.75135,0
8/31/2017,25.73,25.73,25.73,25.73,20.881201,0
9/1/2017,25.77,25.77,25.77,25.77,20.913662,0
9/5/2017,25.559999,25.559999,25.559999,25.559999,20.743237,0
9/6/2017,25.629999,25.629999,25.629999,25.629999,20.800045,0
9/7/2017,25.639999,25.639999,25.639999,25.639999,20.808159,0
9/8/2017,25.620001,25.620001,25.620001,25.620001,20.791929,0
9/11/2017,25.91,25.91,25.91,25.91,21.027279,0
9/12/2017,25.98,25.98,25.98,25.98,21.084085,0
9/13/2017,25.99,25.99,25.99,25.99,21.092203,0
9/14/2017,25.959999,25.959999,25.959999,25.959999,21.067856,0
9/15/2017,26,26,26,26,21.100319,0
9/18/2017,26.040001,26.040001,26.040001,26.040001,21.132784,0
9/19/2017,26.040001,26.040001,26.040001,26.040001,21.132784,0
9/20/2017,26.059999,26.059999,26.059999,26.059999,21.149014,0
9/21/2017,25.99,25.99,25.99,25.99,21.092203,0
9/22/2017,26,26,26,26,21.100319,0
9/25/2017,25.91,25.91,25.91,25.91,21.027279,0
9/26/2017,25.92,25.92,25.92,25.92,21.035395,0
9/27/2017,26.040001,26.040001,26.040001,26.040001,21.132784,0
9/28/2017,26.09,26.09,26.09,26.09,21.173359,0
9/29/2017,26.209999,26.209999,26.209999,26.209999,21.270742,0
10/2/2017,26.299999,26.299999,26.299999,26.299999,21.343782,0
10/3/2017,26.370001,26.370001,26.370001,26.370001,21.400591,0
10/4/2017,26.4,26.4,26.4,26.4,21.42494,0
10/5/2017,26.57,26.57,26.57,26.57,21.562904,0
10/6/2017,26.57,26.57,26.57,26.57,21.562904,0
10/9/2017,26.530001,26.530001,26.530001,26.530001,21.530441,0
10/10/2017,26.6,26.6,26.6,26.6,21.58725,0
10/11/2017,26.65,26.65,26.65,26.65,21.627825,0
10/12/2017,26.610001,26.610001,26.610001,26.610001,21.595366,0
10/13/2017,26.610001,26.610001,26.610001,26.610001,21.595366,0
10/16/2017,26.639999,26.639999,26.639999,26.639999,21.619711,0
10/17/2017,26.66,26.66,26.66,26.66,21.635944,0
10/18/2017,26.66,26.66,26.66,26.66,21.635944,0
10/19/2017,26.66,26.66,26.66,26.66,21.635944,0
10/20/2017,26.809999,26.809999,26.809999,26.809999,21.757675,0
10/23/2017,26.719999,26.719999,26.719999,26.719999,21.684633,0
10/24/2017,26.77,26.77,26.77,26.77,21.725214,0
10/25/2017,26.66,26.66,26.66,26.66,21.635944,0
10/26/2017,26.700001,26.700001,26.700001,26.700001,21.668404,0
10/27/2017,26.969999,26.969999,26.969999,26.969999,21.88752,0
10/30/2017,26.9,26.9,26.9,26.9,21.830717,0
10/31/2017,26.93,26.93,26.93,26.93,21.855062,0
11/1/2017,26.950001,26.950001,26.950001,26.950001,21.871292,0
11/2/2017,26.98,26.98,26.98,26.98,21.895639,0
11/3/2017,27.09,27.09,27.09,27.09,21.984909,0
11/6/2017,27.139999,27.139999,27.139999,27.139999,22.025486,0
11/7/2017,27.09,27.09,27.09,27.09,21.984909,0
11/8/2017,27.129999,27.129999,27.129999,27.129999,22.01737,0
11/9/2017,27.030001,27.030001,27.030001,27.030001,21.936216,0
11/10/2017,27,27,27,27,21.911869,0
11/13/2017,27.059999,27.059999,27.059999,27.059999,21.960562,0
11/14/2017,27.01,27.01,27.01,27.01,21.919987,0
11/15/2017,26.879999,26.879999,26.879999,26.879999,21.814484,0
11/16/2017,27.110001,27.110001,27.110001,27.110001,22.001139,0
11/17/2017,27.030001,27.030001,27.030001,27.030001,21.936216,0
11/20/2017,27.08,27.08,27.08,27.08,21.976793,0
11/21/2017,27.27,27.27,27.27,27.27,22.130989,0
11/22/2017,27.24,27.24,27.24,27.24,22.106644,0
11/24/2017,27.309999,27.309999,27.309999,27.309999,22.163452,0
11/27/2017,27.299999,27.299999,27.299999,27.299999,22.155336,0
11/28/2017,27.559999,27.559999,27.559999,27.559999,22.366337,0
11/29/2017,27.5,27.5,27.5,27.5,22.317646,0
11/30/2017,27.73,27.73,27.73,27.73,22.504301,0
12/1/2017,27.65,27.65,27.65,27.65,22.439379,0
12/4/2017,27.559999,27.559999,27.559999,27.559999,22.366337,0
12/5/2017,27.48,27.48,27.48,27.48,22.301411,0
12/6/2017,27.5,27.5,27.5,27.5,22.317646,0
12/7/2017,27.6,27.6,27.6,27.6,22.3988,0
12/8/2017,27.75,27.75,27.75,27.75,22.520535,0
12/11/2017,27.82,27.82,27.82,27.82,22.577341,0
12/12/2017,27.85,27.85,27.85,27.85,22.601688,0
12/13/2017,27.83,27.83,27.83,27.83,22.585455,0
12/14/2017,27.719999,27.719999,27.719999,27.719999,22.496187,0
12/15/2017,26.1,26.1,26.1,26.1,22.713751,0
12/18/2017,26.219999,26.219999,26.219999,26.219999,22.818182,0
12/19/2017,26.129999,26.129999,26.129999,26.129999,22.739857,0
12/20/2017,26.110001,26.110001,26.110001,26.110001,22.722452,0
12/21/2017,26.18,26.18,26.18,26.18,22.783371,0
12/22/2017,26.15,26.15,26.15,26.15,22.757263,0
12/26/2017,26.120001,26.120001,26.120001,26.120001,22.731157,0
12/27/2017,26.139999,26.139999,26.139999,26.139999,22.74856,0
12/28/2017,26.190001,26.190001,26.190001,26.190001,22.792074,0
12/29/2017,26.049999,26.049999,26.049999,26.049999,22.670235,0
1/2/2018,26.280001,26.280001,26.280001,26.280001,22.870398,0
1/3/2018,26.450001,26.450001,26.450001,26.450001,23.018343,0
1/4/2018,26.559999,26.559999,26.559999,26.559999,23.114067,0
1/5/2018,26.76,26.76,26.76,26.76,23.288122,0
1/8/2018,26.790001,26.790001,26.790001,26.790001,23.31423,0
1/9/2018,26.83,26.83,26.83,26.83,23.349039,0
1/10/2018,26.799999,26.799999,26.799999,26.799999,23.322931,0
1/11/2018,26.99,26.99,26.99,26.99,23.488279,0
1/12/2018,27.17,27.17,27.17,27.17,23.644928,0
1/16/2018,27.09,27.09,27.09,27.09,23.575308,0
1/17/2018,27.35,27.35,27.35,27.35,23.801573,0
1/18/2018,27.32,27.32,27.32,27.32,23.775465,0
1/19/2018,27.450001,27.450001,27.450001,27.450001,23.888599,0
1/22/2018,27.65,27.65,27.65,27.65,24.062653,0
1/23/2018,27.74,27.74,27.74,27.74,24.140976,0
1/24/2018,27.709999,27.709999,27.709999,27.709999,24.114864,0
1/25/2018,27.73,27.73,27.73,27.73,24.132271,0
1/26/2018,28.040001,28.040001,28.040001,28.040001,24.402054,0
1/29/2018,27.860001,27.860001,27.860001,27.860001,24.245407,0
1/30/2018,27.58,27.58,27.58,27.58,24.001734,0
1/31/2018,27.629999,27.629999,27.629999,27.629999,24.045248,0
2/1/2018,27.6,27.6,27.6,27.6,24.019138,0
2/2/2018,27.049999,27.049999,27.049999,27.049999,23.540497,0
2/5/2018,25.959999,25.959999,25.959999,25.959999,22.591913,0
2/6/2018,26.4,26.4,26.4,26.4,22.974827,0
2/7/2018,26.27,26.27,26.27,26.27,22.861696,0
2/8/2018,25.290001,25.290001,25.290001,25.290001,22.008841,0
2/9/2018,25.67,25.67,25.67,25.67,22.33954,0
2/12/2018,26.040001,26.040001,26.040001,26.040001,22.661537,0
